,Unnamed: 0,ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,engine_capacity,transmission,drive_type,fuel_consumption,describe,brand,grade,year_of_manufacture,car_name,price,url,price_in_billion
607,607,3936869,Domestic assembly,Used car,Sedan,11,Brown,Brown,4,5,Petrol,1.6,Manual,FWD - Front-wheel drive,7.6," Need money to pay off debt, urgent sale, beautiful car, anyone can contact me to see the car and test drive, priority to sell to users",Hyundai,Elantra,2017.0,Hyundai Elantra 1.6 MT 2017,403 Million,https://bonbanh.com/xe-hyundai-elantra-1.6-mt-2017-3936869,0.403
687,687,4024126,Domestic assembly,Used car,SUV,79,Black,Black,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),4.2," GLC300 AMG is super fast, super new 99.99% Manufactured in 2021The car is as beautiful as new. For more information, please contact us.",Mercedes-Benz,GLC300,2021.0,Mercedes Benz GLC 300 4Matic 2021,2 Billion 179 Million,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2021-4024126,2.179
689,689,4024530,Domestic assembly,Used car,SUV,50,White,Black,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),4.2," GLC300 AMG is super fast, super new 99.99% Manufactured in 2021The car is as beautiful as new. For more information, please contact us.",Mercedes-Benz,GLC300,2021.0,Mercedes Benz GLC 300 4Matic 2021,2 Billion 139 Million,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2021-4024530,2.139
691,691,4027203,Domestic assembly,Used car,Sedan,50,White,Brown,4,5,Petrol,1.5,Automatic,RFD - Rear-wheel drive,9.0," Mercedes-Benz E180 Like new displayed like new Vehicle with 50km mileage For further information, please contact",Mercedes-Benz,E180,2021.0,Mercedes Benz E class E180 2021,2 Billion 49 Million,https://bonbanh.com/xe-mercedes_benz-e_class-e180-2021-4027203,2.049
1622,1622,4433103,Imported,Used car,Sedan,70,Red,Brown,4,5,Petrol,2.5,Automatic,FWD - Front-wheel drive,7.2," Selling super cars that run like new. LEXUS ES 250- 2021Red - Cow leather interior 99.99% new car Genuine imported car Test included. Nationwide brand Instant delivery nationwide Bank support up to 80% best interest rate on the market Full Options: Bi-LED headlights, Wood paneling, Premium leather, 3-position seat-steering wheel memory, Seat heating, Bronze Luxurious metal clock, electric rear curtain, air conditioning 3 Commitment to vehicle quality on the contract. Free premium ceramic coating package and after-sales maintenance warranty. Sincerely read the news.",Lexus,ES250,2021.0,Lexus ES 250 2021,2 Billion 490 Million,https://bonbanh.com/xe-lexus-es-250-2021-4433103,2.49
1707,1707,4451500,Imported,Used car,Sedan,10,White,Black,4,5,Hybrid,2.5,Automatic,FWD - Front-wheel drive,6.8, Toyota Camry 2.5Hybrid 2022 super glides 10 kmThailand imported car with new Hybrid engineHo Chi Minh City license plateSupports 80% installment payment of car priceContact: Hotline to see car details,Toyota,Camry,2022.0,Toyota Camry 2.5HV 2022,1 Billion 468 Million,https://bonbanh.com/xe-toyota-camry-2.5hv-2022-4451500,1.468
1898,1898,4485717,Imported,Used car,Pickup,1,Grey,Black,4,5,Petrol,3.5,Automatic,4WD - Four-wheel drive (4WD),9.4,Selling Ford F150 Raptor model 2022 Grey with black interior Car delivery supports nationwide vehicle registration Thank you for viewing the news.,Ford,F150,2021.0,Ford F150 Raptor 3.5 V6 2021, 6 Billion,https://bonbanh.com/xe-ford-f150-raptor-3.5-v6-2021-4485717,6.0
2170,2170,4518763,Imported,Used car,SUV,10,Yellow,Cream,5,5,Petrol,3.5,Automatic,AWD - 4-wheel drive (AWD),12.4, Selling Lexus Rx 350 imported version in the US. 100% new car. Car delivered immediately nationwide. Interested customers please contact directly for the best advice and support. Sincerely watch the news.,Lexus,RX350,2022.0,Lexus RX 350 2022, 4 billion,https://bonbanh.com/xe-lexus-rx-350-2022-4518763,0.0
2269,2269,4529242,Domestic assembly,Used car,SUV,15,Black,Cream,5,5,Petrol,2.0,Automatic,RFD - Rear-wheel drive,9.4,"Mercedes-Benz Phu My Hung is selling the GLC200 V1 surfer, manufactured and registered in 2022. The car is brand new, just press the license plate and store it. Best-selling luxury SUV line in Vietnam - Premium Option: I4 engine - 197 horsepower, smart Full-Led lights - Latest MBUX entertainment system with 10.25 inch touch screen Genuine vehicle warranty 2025, check Full 110 points before delivery",Mercedes-Benz,GLC200,2022.0,Mercedes Benz GLC 200 2022,1 Billion 820 Million,https://bonbanh.com/xe-mercedes_benz-glc-200-2022-4529242,1.82
2285,2285,4530598,Imported,Used car,SUV,1,Black,Black,5,7,Petrol,4.6,Automatic,AWD - 4-wheel drive (AWD),13.8,"Super nice Lexus GX460 fulloptionManufactured: 2016HNO plate 7.30 thousand km Service of Q - autoBuy - quickly sell high-end luxury cars (do not buy defective cars, cars with legal problems) Free application withdrawal for Vehicles with provincial and city license plates. Free notarized purchase and sale contracts. Support for fast and good bank loan procedures. Support customers with quick title change procedures. Support for checking/testing as you wish. Cars are sold consistently. Committed to quality and legal documents",Lexus,GX460,2016.0,Lexus GX 460 2016,3 Billion 390 Million,https://bonbanh.com/xe-lexus-gx-460-2016-4530598,3.39
2304,2304,4531729,Imported,Used car,Van/Minivan,1,White,Different color,5,2,Diesel,2.9,Automatic,RFD - Rear-wheel drive,8.3,"Northern Auto Market - An Duong offers Sangyong Korando 2004 automatic 2-wheel drive car for sale. Fully equipped with line amenities, interior and exterior are very beautiful. Contact now to view the car",Ssangyong,Korando,2004.0,Ssangyong Korando TX-5 4x2 AT 2004,179 Million,https://bonbanh.com/xe-ssangyong-korando-tx-5-4x2-at-2004-4531729,0.179
2336,2336,4536347,Domestic assembly,Used car,Sedan,50,White,Black,4,5,Petrol,2.0,Automatic,RFD - Rear-wheel drive,8.7," White, black interior Registration: 2022 Used: 500 Km Genuine warranty until 2025â–ªï¸19-inch AMG sports wheelsâ–ªï¸Diamond pattern grilleâ–ªï¸New design Multi-Beam Led lightsâ–ªï¸Leather seats Nappaâ–ªï¸Burmester sound systemâ–ªï¸Blind spot warning support systemâ–ªï¸Display information on the HUD windshield",Mercedes-Benz,E300,2022.0,Mercedes Benz E class E300 AMG 2022,2 Billion 890 Million,https://bonbanh.com/xe-mercedes_benz-e_class-e300-amg-2022-4536347,2.89
2504,2504,4552441,Domestic assembly,Used car,Sedan,6,Green,Black,4,5,Petrol,1.5,Automatic,FWD - Front-wheel drive,7.7,"MAZDA 3 FL Late 2017Car equipment with smart key, sunroof, electric handbrake, automatic air conditioning, integrated steering wheel, cast wheels, DVD screen, reversing camera, dashcam and many other conveniences If you have any needs, please contact me",Mazda,3,2017.0,Mazda 3 1.5 AT 2017,498 Million,https://bonbanh.com/xe-mazda-3-1.5-at-2017-4552441,0.498
3028,3028,4602753,Domestic assembly,Used car,Crossover,2,White,Cream,5,5,Petrol,1.6,Automatic,FWD - Front-wheel drive,8.2,"Hai Binh Auto Salon Sells PEUGEOT 3008-1.6 GT, GT version (highest version) manufactured in 2022, registration date 8/2022, automatic transmission, domestic assembly, full options. Modern technology on the car is equipped with up to "" ""- Super sensitive 10-inch entertainment screen - Front seats with integrated electric adjustment - seat heating - massage - Panoramic sunroof - Independent 4-zone air conditioning - Hands-free trunk/ Trunk kick. - Parking sensors.... - 19 in wheels - 10 speakers - Cream brown leather seats Guaranteed to be crash free, flood proof, original machinery. (Customers please note that the new car is now 1 billion,370, I sell it for 1 billion,220 million to transfer to the original owner's name) - Support for title transfer and installment loans through banks up to 75% of the car's value with low interest rates.. .â€”â€”â€”â€”â€”â€”â€”â€”â€”â€”â€” Hoan Lao - Bo Trach - Quang Binh",Peugeot,3008,2022.0,Peugeot 3008 GT 2022,1 Billion 200 Million,https://bonbanh.com/xe-peugeot-3008-gt-2022-4602753,1.2
3029,3029,4603241,Imported,Used car,SUV,40,Black,Brown,5,7,Petrol,4.6,Automatic,AWD - 4-wheel drive (AWD),13.8,The car is the original owner. I need to change the car so I need to liquidate it. The car is like new. You guys can test it freely.,Lexus,GX460,2015.0,Lexus GX 460 2015,2 Billion 730 Million,https://bonbanh.com/xe-lexus-gx-460-2015-4603241,2.73
3126,3126,4610793,Domestic assembly,Used car,SUV,50,Green,Black,5,5,Petrol,2.0,Automatic,RFD - Rear-wheel drive,9.4," GLC200 V1 2022 Ì Ì (direct negotiation) Color: Blue - Interior: Black â–ªï¸ Vehicle condition: - Vehicle has Saigon License Plate - New wheels: 50 km - Registration 2022 - Genuine warranty until 1 year 2025â–ªï¸ Upgraded version option - 64-color interior ambient lighting - Glowing ""Mercedes Benz"" door sill covers",Mercedes-Benz,GLC200,2022.0,Mercedes Benz GLC 200 2022,1 Billion 779 Million,https://bonbanh.com/xe-mercedes_benz-glc-200-2022-4610793,1.779
3138,3138,4611348,Domestic assembly,Used car,Crossover,93,Brown,Black,5,8,Petrol,2.0,Automatic,RFD - Rear-wheel drive,8.5,"The best product of Auto Son Luong is here. Introducing Toyota Innova 2.0G Manufactured: 2016 Vehicle equipment includes: + Built-in 360 degree CAMERA + EBD electronic brake force distribution system + Leather steering wheel + Andriod screen + Interior Leather upholstery + ABS brakes + Front sensor + Safety airbags + 2nd row air vents + Electric mirrors + Integrated controls on the steering wheel + High-mounted auxiliary brake lights + Cast alloy wheels + Reverse cam Commitment: Vehicle indescribably beautiful, no crash, no flooding, no engine disintegration. If you are interested, contact the information below. AUTO SON LUONG - Specializing in purchasing, consigning, and exchanging reasonable vehicles Showroom: National Highway 1A, Tan Village Son 2, Thanh Hai commune, Phan Rang Thap Cham City, Ninh Thuan Province",Toyota,Innova,2016.0,Toyota Innova 2.0G 2016,595 Million,https://bonbanh.com/xe-toyota-innova-2.0g-2016-4611348,0.595
